Protein	Interface	R	R'	R''	var for R'
ITSN1	SH3D	19297.27259	505983.861348	618004.248114	55617401211.1
ITSN1	EH2	19297.27259	522064.030909	618004.248114	55617401211.1
ITSN1	RhoGEF_autoinhibit	19297.27259	571949.865382	618004.248114	55617401211.1
ITSN1	SH3E_LINK_toDH	19297.27259	571949.865382	618004.248114	55617401211.1
ITSN1	SH3C	19297.27259	505983.861348	618004.248114	55617401211.1
ITSN1	SH3E	19297.27259	505983.861348	618004.248114	55617401211.1
ITSN1	SH3A	19297.27259	584322.684871	618004.248114	55617401211.1
ITSN1	LINK_SH3AB	19297.27259	415371.846863	618004.248114	55617401211.1
ITSN1	CC1	19297.27259	571949.865382	618004.248114	55617401211.1
ITSN1	PH	19297.27259	733714.836806	618004.248114	55617401211.1
DNM2	PRD2	343226.4665	4679087.81481	4017632.46418	455755705525
DNM2	PRD_1_4-8_10-15	343226.4665	4679087.81481	4017632.46418	455755705525
DNM2	PRD3	343226.4665	4679087.81481	4017632.46418	455755705525
DNM2	PRD9	343226.4665	4679087.81481	4017632.46418	455755705525
DNM2	Actin_bind	343226.4665	2631278.99787	4017632.46418	455755705525
DNM2	GED	343226.4665	3650216.86441	4017632.46418	455755705525
DNM2	STALK_DIMER	343226.4665	3650191.86441	4017632.46418	455755705525
DNM2	MD	343226.4665	3650166.86441	4017632.46418	455755705525
DNM2	PH	343226.4665	3860486.32726	4017632.46418	455755705525
SYNJ1	FxDxF	9358.226262	50	1513989.22102	1.77614580725e+12
SYNJ1	WVxF	9358.226262	100	1513989.22102	1.77614580725e+12
SYNJ1	PRD_span	9358.226262	2978043.97256	1513989.22102	1.77614580725e+12
SYNJ1	PRD_1285to1290	9358.226262	2978043.97256	1513989.22102	1.77614580725e+12
SYNJ1	IPPc_Sac1	9358.226262	1613708.15998	1513989.22102	1.77614580725e+12
SYNJ2	PRD_1285to1290	2913.571311	408014.738423	596664.011912	71177096776.3
SYNJ2	PRD_span	2913.571311	408014.738423	596664.011912	71177096776.3
SYNJ2	IPPc_Sac1	2913.571311	973962.558891	596664.011912	71177096776.3
OCRL	CLAT_NS	20354.72627	50	713173.839037	759361517687
OCRL	FxDxF	20354.72627	304993.865949	713173.839037	759361517687
OCRL	CLAT	20354.72627	100	713173.839037	759361517687
OCRL	PRD	20354.72627	2312530.57091	713173.839037	759361517687
OCRL	IPPc	20354.72627	948194.758329	713173.839037	759361517687
DNM1	PRD_1_4-8_10-15	113.0437	3542470.26685	2867810.03877	387396927553
DNM1	PRD2	113.0437	3542470.26685	2867810.03877	387396927553
DNM1	PRD3	113.0437	3542470.26685	2867810.03877	387396927553
DNM1	PRD9	113.0437	3542470.26685	2867810.03877	387396927553
DNM1	Actin_bind	113.0437	1680825.88782	2867810.03877	387396927553
DNM1	MD	113.0437	2607135.31194	2867810.03877	387396927553
DNM1	GED	113.0437	2607085.31194	2867810.03877	387396927553
DNM1	STALK_DIMER	113.0437	2607110.31194	2867810.03877	387396927553
DNM1	PHOSPHO_SITES_PRD	113.0437	2207775.40027	2867810.03877	387396927553
DNM1	PH	113.0437	2798287.09635	2867810.03877	387396927553
PIP5K1C	CTD	3115.933757	1053538.66112	2596507.14517	2.38075174278e+12
PIP5K1C	Kinase_lipid	3115.933757	4139475.62922	2596507.14517	2.38075174278e+12
HIP1R	TALIN	37796.42155	3326344.23469	4917467.85554	8.88434072047e+12
HIP1R	PRD_span	37796.42155	3099120.13024	4917467.85554	8.88434072047e+12
HIP1R	PRD_1025to1030	37796.42155	4197393.84307	4917467.85554	8.88434072047e+12
HIP1R	CC	37796.42155	4220371.9364	4917467.85554	8.88434072047e+12
HIP1R	CLAT	37796.42155	3158540.94786	4917467.85554	8.88434072047e+12
HIP1R	ENTH	37796.42155	11503036.041	4917467.85554	8.88434072047e+12
DNAJC6	CLAT	811.7546	50	1803872.17695	1.76363160495e+12
DNAJC6	Jdomain	811.7546	2252885.29358	1803872.17695	1.76363160495e+12
DNAJC6	PTENlike	811.7546	3158681.23725	1803872.17695	1.76363160495e+12
HSPA8	SBD	8570840.515	3719062.37196	4378405.21779	239289489712
HSPA8	HSPATP	8570840.515	4889417.46155	4378405.21779	239289489712
HSPA8	COFACTOR	8570840.515	4526735.81987	4378405.21779	239289489712
EPS15L1	EH2	182903.0789	150	116.666666667	2222.22222222
EPS15L1	EH3	182903.0789	50	116.666666667	2222.22222222
EPS15L1	EH1	182903.0789	150	116.666666667	2222.22222222
DAB2	DPF	880533.1595	1672807.74478	869793.745358	214429117077
DAB2	NPF3_4_5	880533.1595	899026.88047	869793.745358	214429117077
DAB2	CLAT	880533.1595	50	869793.745358	214429117077
DAB2	CTD	880533.1595	706309.602316	869793.745358	214429117077
DAB2	PRD_709to725	880533.1595	851030.340456	869793.745358	214429117077
DAB2	PTB_MEM	880533.1595	1134004.25069	869793.745358	214429117077
DAB2	PTB_CARGO	880533.1595	825327.398796	869793.745358	214429117077
STON2	WVxF	1571.625949	100	145864.127799	12508557210.1
STON2	NPF2	1571.625949	165572.419024	145864.127799	12508557210.1
STON2	NPF1	1571.625949	271919.964373	145864.127799	12508557210.1
LDLRAP1	CLAT	9213.968455	50	146283.531566	51874293400.8
LDLRAP1	AP2BIND	9213.968455	50	146283.531566	51874293400.8
LDLRAP1	PTB_MEM	9213.968455	539458.544647	146283.531566	51874293400.8
LDLRAP1	PTB_CARGO	9213.968455	45575.5816163	146283.531566	51874293400.8
ARRB1	CTD	57100.82864	50	170124.110512	54896723312.5
ARRB1	CLAT	57100.82864	50	170124.110512	54896723312.5
ARRB1	PIP2_BIND	57100.82864	568108.379841	170124.110512	54896723312.5
ARRB1	CARGO_BIND	57100.82864	112288.062206	170124.110512	54896723312.5
ARRB2	CTD	69260.66328	50	172150.749618	55590188265.3
ARRB2	CLAT	69260.66328	50	172150.749618	55590188265.3
ARRB2	PIP2_BIND	69260.66328	572161.658054	172150.749618	55590188265.3
ARRB2	CARGO_BIND	69260.66328	116341.34042	172150.749618	55590188265.3
NUMB	PRD	39228.26802	236117.371209	141736.092745	16211301101.5
NUMB	PhosphoSite_T102	39228.26802	9013.20818854	141736.092745	16211301101.5
NUMB	NPF	39228.26802	156813.322998	141736.092745	16211301101.5
NUMB	PhosphoSites	39228.26802	115204.212275	141736.092745	16211301101.5
NUMB	DPF	39228.26802	100	141736.092745	16211301101.5
NUMB	PTB_MEM	39228.26802	391790.693219	141736.092745	16211301101.5
NUMB	PTB_CARGO	39228.26802	83113.8413245	141736.092745	16211301101.5
EPN1	NPF	323639.9263	250544.066536	147456.679692	28668942115.9
EPN1	DPW	323639.9263	150	147456.679692	28668942115.9
EPN1	CLAT	323639.9263	50	147456.679692	28668942115.9
EPN1	ENTH_H0	323639.9263	319906.907066	147456.679692	28668942115.9
EPN1	DEX	323639.9263	50	147456.679692	28668942115.9
EPN1	ENTH	323639.9263	432347.664082	147456.679692	28668942115.9
EPN1	UIM	323639.9263	29148.1201577	147456.679692	28668942115.9
EPN2	NPF	83147.1461	279355.946239	273972.572917	50605661014.3
EPN2	CLAT	83147.1461	50	273972.572917	50605661014.3
EPN2	ENTH_H0	83147.1461	442738.097179	273972.572917	50605661014.3
EPN2	ENTH	83147.1461	592659.106534	273972.572917	50605661014.3
EPN2	UIM	83147.1461	55059.7146342	273972.572917	50605661014.3
EPN3	NPF	-1	1119281.06403	1063499.64734	112198817579
EPN3	ENTH_H0	-1	762645.004245	1063499.64734	112198817579
EPN3	ENTH	-1	1589235.80447	1063499.64734	112198817579
EPN3	UIM	-1	782836.716621	1063499.64734	112198817579
TRIP10	SH3_1	145600.1086	2727528.04697	4872675.95403	9.26045761862e+12
TRIP10	FBAR_DIMER	145600.1086	4197379.40468	4872675.95403	9.26045761862e+12
TRIP10	SH3_2	145600.1086	2436345.95388	4872675.95403	9.26045761862e+12
TRIP10	FBAR_TOP	145600.1086	4197379.40468	4872675.95403	9.26045761862e+12
TRIP10	FBAR_BOTTOM	145600.1086	4197379.40468	4872675.95403	9.26045761862e+12
TRIP10	FBAR_MEM	145600.1086	11480043.5093	4872675.95403	9.26045761862e+12
ACTG1	Subunit4_outsideFilament	11241681.98	8731257.1842	10454940.7216	1.33549198303e+12
ACTG1	Subunit1_2_outsideFilament	11241681.98	11863927.7557	10454940.7216	1.33549198303e+12
ACTG1	BarbedEnd_back	11241681.98	11022241.1584	10454940.7216	1.33549198303e+12
ACTG1	PointedEnd_Back	11241681.98	10202336.7882	10454940.7216	1.33549198303e+12
ACTB	Subunit4_outsideFilament	2070695.936	393697.36352	2325737.45677	1.99505709313e+12
ACTB	Subunit1_2_outsideFilament	2070695.936	4312554.88569	2325737.45677	1.99505709313e+12
ACTB	BarbedEnd_back	2070695.936	2684681.33771	2325737.45677	1.99505709313e+12
ACTB	PointedEnd_Back	2070695.936	1912016.24016	2325737.45677	1.99505709313e+12
ARPC5L	interface_to_arpc4	605294.9759	623686.093558	608797.188161	3329949073.89
ARPC5L	interface_to_actr2	605294.9759	670841.324331	608797.188161	3329949073.89
ARPC5L	interface_to_arpc1a	605294.9759	531864.146594	608797.188161	3329949073.89
ARPC3	interface_to_actin_filament	756056.0055	100	325595.634538	105947408103
ARPC3	interface_to_actr3	756056.0055	651091.269076	325595.634538	105947408103
ARPC4	interface_to_actr2	622025.6116	673287.87865	636629.756719	1821525801.82
ARPC4	interface_to_actr3	622025.6116	682852.220032	636629.756719	1821525801.82
ARPC4	interface_to_arpc1a	622025.6116	562840.102757	636629.756719	1821525801.82
ARPC4	interface_to_arpc2	622025.6116	640482.488596	636629.756719	1821525801.82
ARPC4	interface_to_arpc5l	622025.6116	623686.093558	636629.756719	1821525801.82
ARPC2	interface_to_actr3	617419.6329	701265.880676	670874.184636	923655188.178
ARPC2	interface_to_arpc4	617419.6329	640482.488596	670874.184636	923655188.178
ARPC1A	interface_to_actin_filament_acidic	95829.59762	632692.785402	575799.011584	1778369059.63
ARPC1A	interface_to_arpc4	95829.59762	562840.102757	575799.011584	1778369059.63
ARPC1A	interface_to_arpc5l	95829.59762	531864.146594	575799.011584	1778369059.63
ACTR2	barbed_end_groove_to_Chelix	670302.3009	445898.905491	712877.62106	24607465257.3
ACTR2	back_barbed_end_to_actin	670302.3009	965876.084219	712877.62106	24607465257.3
ACTR2	interface_to_actr3	670302.3009	713488.314168	712877.62106	24607465257.3
ACTR2	interface_to_arpc4	670302.3009	673287.87865	712877.62106	24607465257.3
ACTR2	side_front_to_acidic_domain	670302.3009	807873.219499	712877.62106	24607465257.3
ACTR2	interface_to_arpc5l	670302.3009	670841.324331	712877.62106	24607465257.3
ACTR3	barbed_end_groove_to_Chelix	761171.0715	491060.124555	713369.373394	16775467658.3
ACTR3	interface_to_actr2	761171.0715	713488.314168	713369.373394	16775467658.3
ACTR3	interface_to_arpc3	761171.0715	651091.269076	713369.373394	16775467658.3
ACTR3	interface_to_arpc4	761171.0715	682852.220032	713369.373394	16775467658.3
ACTR3	back_barbed_end_to_actin	761171.0715	946040.155942	713369.373394	16775467658.3
ACTR3	interface_to_arpc2	761171.0715	701265.880676	713369.373394	16775467658.3
ACTR3	side_front_to_acidic_domain	761171.0715	807787.649312	713369.373394	16775467658.3
BMP2K	PKD	5456.993238	115204.212275	115204.212275	0
AAK1	KD	7661.860815	966937.11254	966937.11254	0
FNBP1L	FBAR_DIMER	78012.75599	6859627.62736	8215950.60164	1.3186417513e+13
FNBP1L	FBAR_TOP	78012.75599	6859627.62736	8215950.60164	1.3186417513e+13
FNBP1L	FBAR_BOTTOM	78012.75599	6859627.62736	8215950.60164	1.3186417513e+13
FNBP1L	SH3	78012.75599	5144801.04336	8215950.60164	1.3186417513e+13
FNBP1L	FBAR_MEM	78012.75599	15356069.0827	8215950.60164	1.3186417513e+13
CAPZA2	interface_to_actin	965680.9245	227967.611446	883991.417659	430367234317
CAPZA2	interface_to_capzb	965680.9245	1540015.22387	883991.417659	430367234317
CAPZB	interface_to_actin	1288194.741	1499170.47045	2252749.35543	1.0753149802e+12
CAPZB	interface_to_hspa8	1288194.741	3719062.37196	2252749.35543	1.0753149802e+12
CAPZB	interface_to_capza2	1288194.741	1540015.22387	2252749.35543	1.0753149802e+12
CFL1	ADFH	12981148.87	6722954.95802	6722954.95802	0
CORO1A	CC_actinbind	4831.387	100	1569203.61991	2.15247032241e+12
CORO1A	beta_propeller	4831.387	3529400.29806	1569203.61991	2.15247032241e+12
CORO1A	CC_dimer	4831.387	1178110.56169	1569203.61991	2.15247032241e+12
CORO7	Tyr_motif	111744.8867	50	308636.652395	95225722036.5
CORO7	interface_to_eps15	111744.8867	617223.30479	308636.652395	95225722036.5
WASL	VCA_V_WH2_1	130113.4118	100	767054.018282	674037400087
WASL	VCA_V_WH2_2	130113.4118	100	767054.018282	674037400087
WASL	VCA_acidic	130113.4118	574984.716037	767054.018282	674037400087
WASL	VCA_central	130113.4118	936959.030045	767054.018282	674037400087
WASL	PRD_span	130113.4118	2437095.95388	767054.018282	674037400087
WASL	PRD_277to392	130113.4118	653084.409734	767054.018282	674037400087
MYO1E	SH3	214955.6419	10348532.2166	20559800.256	1.04269994972e+14
MYO1E	PH	214955.6419	30771068.2954	20559800.256	1.04269994972e+14
BIN1	SH3	87056.12342	5153844.41079	8224993.96907	1.3186417513e+13
BIN1	BAR_DIMER	87056.12342	6868670.99479	8224993.96907	1.3186417513e+13
BIN1	BAR_TOP	87056.12342	6868670.99479	8224993.96907	1.3186417513e+13
BIN1	BAR_BOTTOM	87056.12342	6868670.99479	8224993.96907	1.3186417513e+13
BIN1	BAR_MEM	87056.12342	15365112.4502	8224993.96907	1.3186417513e+13
SH3GL2	BAR_top	29976.73826	6811616.60963	8167914.58391	1.31864175133e+13
SH3GL2	BAR_bottom	29976.73826	6811566.60963	8167914.58391	1.31864175133e+13
SH3GL2	SH3	29976.73826	5096765.02563	8167914.58391	1.31864175133e+13
SH3GL2	BAR_DIMER	29976.73826	6811591.60963	8167914.58391	1.31864175133e+13
SH3GL2	BAR_MEM	29976.73826	15308033.065	8167914.58391	1.31864175133e+13
SH3GL1	BAR_top	316561.1522	7098151.02357	8454498.99785	1.31864175133e+13
SH3GL1	BAR_bottom	316561.1522	7098201.02357	8454498.99785	1.31864175133e+13
SH3GL1	SH3	316561.1522	5383349.43957	8454498.99785	1.31864175133e+13
SH3GL1	BAR_DIMER	316561.1522	7098176.02357	8454498.99785	1.31864175133e+13
SH3GL1	BAR_MEM	316561.1522	15594617.4789	8454498.99785	1.31864175133e+13
DBNL	SH3	250160.3351	200	150	2500
DBNL	ADFH	250160.3351	100	150	2500
FNBP1	FBAR_top	35892.75096	6817507.62233	8173830.59661	1.3186417513e+13
FNBP1	FBAR_bottom	35892.75096	6817507.62233	8173830.59661	1.3186417513e+13
FNBP1	SH3	35892.75096	5102681.03833	8173830.59661	1.3186417513e+13
FNBP1	FBAR_DIMER	35892.75096	6817507.62233	8173830.59661	1.3186417513e+13
FNBP1	FBAR_MEM	35892.75096	15313949.0777	8173830.59661	1.3186417513e+13
PACSIN2	SH3	266467.4607	5333255.74807	8404405.30635	1.3186417513e+13
PACSIN2	FBAR_DIMER	266467.4607	7048082.33207	8404405.30635	1.3186417513e+13
PACSIN2	FBAR_top	266467.4607	7048082.33207	8404405.30635	1.3186417513e+13
PACSIN2	FBAR_bottom	266467.4607	7048082.33207	8404405.30635	1.3186417513e+13
PACSIN2	FBAR_MEM	266467.4607	15544523.7874	8404405.30635	1.3186417513e+13
EPS8	Helix_Bundle	8801.92783	5595654.24966	3686500.93784	3.64486636806e+12
EPS8	AMPHI_HELIX	8801.92783	1777347.62601	3686500.93784	3.64486636806e+12
NECAP1	PHear	63106.54971	977897.637285	488998.818642	239022054870
NECAP1	WXXF_2	63106.54971	100	488998.818642	239022054870
MYO6	DT	94106.64615	100	353254.801158	124718313581
MYO6	WWY	94106.64615	706409.602316	353254.801158	124718313581
CTTN	SH3	1206471.372	3099420.13024	1908257.35326	839803757177
CTTN	ACIDICMOT	1206471.372	1673368.93818	1908257.35326	839803757177
CTTN	SRC_BIND	1206471.372	2834325.34171	1908257.35326	839803757177
CTTN	PhosphoSites	1206471.372	1185911.65178	1908257.35326	839803757177
CTTN	HSrepeats	1206471.372	748260.704385	1908257.35326	839803757177
TNK2	CLAT	1913.166762	50	696313.703257	850226772279
TNK2	PKD	1913.166762	1185961.65178	696313.703257	850226772279
TNK2	SH3	1913.166762	100	696313.703257	850226772279
TNK2	PRD	1913.166762	2295406.86451	696313.703257	850226772279
TNK2	PhosphoSites	1913.166762	50	696313.703257	850226772279
SNX9	BAR_top	84547.41325	5646465.77075	6573452.16366	8.35079747216e+12
SNX9	BAR_bottom	84547.41325	5646465.77075	6573452.16366	8.35079747216e+12
SNX9	SH3	84547.41325	4176614.41303	6573452.16366	8.35079747216e+12
SNX9	LC	84547.41325	5395571.38135	6573452.16366	8.35079747216e+12
SNX9	BAR_DIMER	84547.41325	5646465.77075	6573452.16366	8.35079747216e+12
SNX9	BAR_PX	84547.41325	12929129.8753	6573452.16366	8.35079747216e+12
ITSN2	WVxF	25243.08504	50	5193.63865326	91975968.0911
ITSN2	SH3A	25243.08504	27805.6511212	5193.63865326	91975968.0911
ITSN2	SH3D	25243.08504	150	5193.63865326	91975968.0911
ITSN2	SH3C	25243.08504	300	5193.63865326	91975968.0911
ITSN2	SH3E	25243.08504	300	5193.63865326	91975968.0911
ITSN2	SH3B	25243.08504	50	5193.63865326	91975968.0911
ITSN2	CC1	25243.08504	7699.8194516	5193.63865326	91975968.0911
AGFG1	CLAT	238483.211	50	62242.028921	4021497050.42
AGFG1	FXXFXXF	238483.211	100	62242.028921	4021497050.42
AGFG1	NPF	238483.211	142115.398687	62242.028921	4021497050.42
AGFG1	CARGO_BIND	238483.211	106702.716997	62242.028921	4021497050.42
INPPL1	PRD_span	77115.68575	640817.106417	542864.895827	19189271119.1
INPPL1	PRD_944to949	77115.68575	640817.106417	542864.895827	19189271119.1
INPPL1	IPPc	77115.68575	346960.474646	542864.895827	19189271119.1
DYRK1A	Kinase_ST	22916.77211	2207825.40027	1103937.70013	1.21856805451e+12
DYRK1A	Phospho_Site	22916.77211	50	1103937.70013	1.21856805451e+12
SH3BP4	NPF	1410.015994	335794.451609	372880.707897	8962606273.55
SH3BP4	SH3	1410.015994	502834.637162	372880.707897	8962606273.55
SH3BP4	CC	1410.015994	280013.034921	372880.707897	8962606273.55
SH3KBP1	SH3C	147078.8918	1969136.57804	2301378.78461	459640347064
SH3KBP1	SH3A	147078.8918	1969136.57804	2301378.78461	459640347064
SH3KBP1	SH3B	147078.8918	1969136.57804	2301378.78461	459640347064
SH3KBP1	PRD	147078.8918	3657155.38648	2301378.78461	459640347064
SH3KBP1	coiled_coil	147078.8918	1942328.80248	2301378.78461	459640347064
GAK	CLAT	42742.22	50	1817848.99875	1.78894098185e+12
GAK	Jdomain	42742.22	2273850.52628	1817848.99875	1.78894098185e+12
GAK	PTENlike	42742.22	3179646.46995	1817848.99875	1.78894098185e+12
PI4KA	Kinase_lipid	9740.211114	25499064.5772	25499064.5772	0
PI45P2	Head_group	26000000	23897055.3715	23897055.3715	0
PI_PS	Head_group	260000000	209021351.268	209021351.268	0
PI345P3	Head_group	29092	346960.474646	346960.474646	0
PI4P	Head_group	17700000	10477703.3364	10477703.3364	0
PI34P2	Head_group	43638	50	50	0
CARGO_YXXO	YXXO	2615760.902	1724474.49304	1724474.49304	0
CARGO_DILEU	DEXXXLLI	212999.2225	2495141.56308	2495141.56308	0
CARGO_PTB	FYXNPXYF	587546.6351	954016.821737	954016.821737	0
CARGO_GPCR	pSpT	52472.44297	228629.402626	228629.402626	0
CARGO_ubiq	ubiquitin	115223.8174	1237875.54028	1237875.54028	0
CARGO_VAMP7	longin	152764.9753	106702.716997	106702.716997	0
CARGO_SNARE	coiled_coil	1341141.033	943190.264714	943190.264714	0
CARGO_VAMP2	coiled_coil	6333.36275	50	50	0
