Pro1	Interface1	Pro2	Interface2
APP1	PRD_465to480	LSB3	SH3_domain
APP1	PRD_465to480	RVS167	SH3_domain
APP1	PRD_465to480	YSC84	SH3_domain
APP1	PRD_502to518	BBC1	SH3_domain
APP1	PRD_502to518	BZZ1	SH3_domain
APP1	PRD_502to518	MYO5	SH3_domain
APP1	PRD_502to518	RVS167	SH3_domain
ARC15	Interface_to_arc19	ARC19	Interface_to_arc15
ARC15	Interface_to_arc40	ARC40	interface_to_arc15
ARC15	Interface_to_arp2	ARP2	interface_to_arc15
ARC18	Interface_to_arp3	ARP3	interface_to_arc18
ARC19	Interface_to_arc35	ARC35	Interface_to_arc19
ARC19	Interface_to_arc40	ARC40	interface_to_arc19
ARC19	Interface_to_arp2	ARP2	interface_to_arc19
ARC19	Interface_to_arp3	ARP3	interface_to_arc19
ARC35	Interface_to_arp3	ARP3	interface_to_arc35
ARC40	interface_to_actin_filament	CRN1	acidic_domain
ARC40	interface_to_actin_filament	LAS17	acidic_domain
ARC40	interface_to_actin_filament	MYO3	acidic_domain
ARC40	interface_to_actin_filament	MYO5	acidic_domain
ARC40	interface_to_actin_filament	PAN1	acidic_domain
ARK1	kinase_domain	LSB3	phospho_site
ARK1	kinase_domain	PAN1	phospho_site_LR2
ARK1	kinase_domain	SLA1	phospho_site
ARP2	barbed_end_groove_to_Chelix	LAS17	C_helix
ARP2	interface_to_arp3	ARP3	interface_to_arp2
ARP2	speculated_to_PRK1	PRK1	interface_to_arp2
ARP2	side_front_to_acidic_domain	LAS17	acidic_domain
ARP2	side_front_to_acidic_domain	MYO3	acidic_domain
ARP2	side_front_to_acidic_domain	MYO5	acidic_domain
ARP2	side_front_to_acidic_domain	PAN1	acidic_domain
ARP3	side_front_to_acidic_domain	CRN1	acidic_domain
ARP3	side_front_to_acidic_domain	MYO3	acidic_domain
ARP3	side_front_to_acidic_domain	MYO5	acidic_domain
ARP3	side_front_to_acidic_domain	PAN1	acidic_domain
ARP3	barbed_end_groove_to_Chelix	CRN1	C_helix
BBC1	SH3_domain	BBC1	PRD_700to730
BBC1	SH3_domain	LAS17	PRD_347to359
BBC1	SH3_domain	LAS17	PRD_383to400
BBC1	PRD_700to730	MYO3	SH3_domain
BBC1	PRD_700to730	MYO5	SH3_domain
BSP1	PRD_183to197	LSB3	SH3_domain
BSP1	PRD_183to197	YSC84	SH3_domain
BSP1	interface_to_INP52_notPRD	INP52	N_terminal_region
BZZ1	SH3_domain	MYO5	PRD_1070to1084
BZZ1	SH3_domain	VRP1	PRD_3to18
CAP1	dimer_interface_to_CAP2	CAP2	dimer_interface_to_CAP1
CAP1	speculated_interface_to_TWF1	TWF1	speculated_interface_to_CAP1
CAP2	speculated_interface_to_TWF1	TWF1	speculated_interface_to_CAP2
CHC1	self_binding_to_trimers	CHC1	self_binding_to_trimers
CHC1	N_terminal_domain	ENT1	Clathrin_Box
CHC1	N_terminal_domain	ENT2	Clathrin_Box
CHC1	N_terminal_domain	YAP1802	Clathrin_Box
CHC1	interface_to_light_chain	CLC1	interface_to_heavy_chain
CLC1	interface_to_SLA2	SLA2	interface_to_CLC1
CRN1	coiled_coil_domain	ACT1	Subunit1_2_outsideFilament
CRN1	coiled_coil_domain	CRN1	coiled_coil_domain
CRN1	beta_propeller_domain	ACT1	Subunit4_outsideFilament
CRN1	acidic_domain	ARP2	side_front_to_acidic_domain
CRN1	C_helix	ARP2	barbed_end_groove_to_Chelix
EDE1	EH_domain	ENT1	Two_NPF_motifs
EDE1	EH_domain	ENT2	Two_NPF_motifs
EDE1	speculated_to_PAL1	PAL1	speculated_interface_to_EDE1
EDE1	coiled_coil_domain	EDE1	coiled_coil_domain
END3	C_terminal_region	PAN1	long_repeat_2
ENT1	Two_NPF_motifs	PAN1	EH_domain_2
ENT2	Two_phospho_site	PRK1	kinase_domain
GTS1	PRD_245to266	YSC84	SH3_domain
GTS1	speculated_interface_to_YAP1801	YAP1802	speculated_to_GTS1
LAS17	C_helix	ARP3	barbed_end_groove_to_Chelix
LAS17	acidic_domain	ARP3	side_front_to_acidic_domain
LAS17	PRD_347to359	BZZ1	SH3_domain
LAS17	PRD_347to359	LSB3	SH3_domain
LAS17	PRD_347to359	MYO3	SH3_domain
LAS17	PRD_347to359	MYO5	SH3_domain
LAS17	PRD_347to359	RVS167	SH3_domain
LAS17	PRD_383to400	LSB3	SH3_domain
LAS17	PRD_180to195	BZZ1	SH3_domain
LAS17	PRD_310to330	LSB3	SH3_domain
LAS17	PRD_310to330	RVS167	SH3_domain
LAS17	PRD_211to225	MYO3	SH3_domain
LAS17	PRD_211to225	MYO5	SH3_domain
LSB3	dimerization_interface	LSB3	dimerization_interface
LSB3	SH3_domain	GTS1	PRD_245to266
LSB5	VHS_domain	LAS17	PRD_383to400
MYO3	SH3_domain	PAN1	PRD_1469to1480
MYO5	SH3_domain	MYO5	PRD_1070to1084
MYO5	SH3_domain	VRP1	PRD_398to407
MYO5	PRD_1070to1084	MYO3	SH3_domain
PAN1	EH_domain_2	ENT2	Two_NPF_motifs
PAN1	EH_domain_2	YAP1801	Five_NPF_motifs
PAN1	phospho_site_LR2	PRK1	kinase_domain
PAN1	coiled_coil_domain	PAN1	N_terminal_LR1
PAN1	PRD_1469to1480	MYO5	SH3_domain
PRK1	kinase_domain	ENT1	phospho_site
PRK1	kinase_domain	LAS17	phospho_site
PRK1	kinase_domain	YAP1801	phospho_site
RVS167	SH3_domain	BSP1	PRD_183to197
RVS167	SH3_domain	BSP1	PRD_231to245
RVS167	SH3_domain	GTS1	PRD_245to266
RVS167	SH3_domain	VRP1	PRD_513to527
RVS167	dimerization_interface_	RVS161	dimerization_interface_
RVS167	oligomerization_domain_	RVS167	oligomerization_domain_
SCD5	residue302-500	END3	N_terminal_domain
SCD5	residue302-500	PAN1	long_repeat_2
SCD5	phospho_site	PRK1	kinase_domain
SLA1	Clathrin_Box	CHC1	N_terminal_domain
SLA1	Clathrin_Box	SLA1	SHD2_domain
SLA1	PRD_191to205	LSB3	SH3_domain
SLA1	PRD_191to205	RVS167	SH3_domain
SLA1	PRD_191to205	YSC84	SH3_domain
SLA1	C_terminal_repeat_toEND3	END3	N_terminal_domain
SLA1	SHD1_domain	LSB5	NPF_motif_region
SLA1	SH3_domains1-2	APP1	PRD_502to518
SLA1	SH3_domains1-2	BSP1	PRD_183to197
SLA1	SH3_domains1-2	INP52	PRD_983to997
SLA1	SH3_domains1-2	LAS17	PRD_347to359
SLA1	SH3_domains1-2	SYP1	PRD_519to533
SLA1	C_terminal_repeat_toPAN1	PAN1	N_terminal_LR1
SLA1	phospho_site	PRK1	kinase_domain
SLA1	SH3_domain_3	APP1	PRD_502to518
SLA1	SH3_domain_3	LAS17	PRD_347to359
SLA1	SHD2_domain	SLA1	SHD2_domain
SLA1	Gap1_domain	SLA2	coiled_coil_domain
SLA2	coiled_coil_domain	PAN1	coiled_coil_domain
SLA2	phospho_site	ARK1	kinase_domain
SLA2	phospho_site	PRK1	kinase_domain
SLA2	homodimer_interface_CC	SLA2	homodimer_interface_CC
SYP1	interface_to_LAS17	LAS17	speculated_to_SYP1
SYP1	PRD_413to427	LSB3	SH3_domain
SYP1	C_terminal_muHD	EDE1	C_terminal_domain
SYP1	BAR_domain	SYP1	BAR_domain
VRP1	PRD_3to18	SLA1	SH3_domains1-2
VRP1	C_terminal_region	LAS17	WH1_domain
VRP1	PRD_398to407	MYO3	SH3_domain
YAP1801	speculated_to_GTS1	GTS1	speculated_interface_to_YAP1801
YAP1801	Clathrin_Box	CHC1	N_terminal_domain
YAP1802	Five_NPF_motifs	EDE1	EH_domain
YAP1802	Five_NPF_motifs	PAN1	EH_domain_2
YAP1802	phospho_site	ARK1	kinase_domain
YAP1802	phospho_site	PRK1	kinase_domain
YAP1802	coiled_coil_domain	END3	C_terminal_region
YSC84	dimerization_interface	LSB3	dimerization_interface
YSC84	dimerization_interface	YSC84	dimerization_interface
YSC84	SH3_domain	LAS17	PRD_347to359
YSC84	SH3_domain	LAS17	PRD_383to400
YSC84	SH3_domain	LAS17	PRD_310to330
