Protein	Interface	R	R'	R''	var for R'
LAS17	speculated_to_SYP1	165	576.151612404	346.610349907	42512.2033365
LAS17	WH1_domain	165	304.261462513	346.610349907	42512.2033365
LSB3	SH3_domain	2910	14136.7894423	9260.19382698	12373108.7031
LSB3	phospho_site	2910	5971.1466684	9260.19382698	12373108.7031
LSB3	dimerization_interface	2910	7672.64537023	9260.19382698	12373108.7031
LSB5	VHS_domain	787	484.440592472	2150.94751906	2777245.33635
LSB5	NPF_motif_region	787	3817.45444564	2150.94751906	2777245.33635
MYO3	head_domain	1841	1301.71251892	1121.95002522	534854.163594
MYO3	acidic_domain	1841	150	1121.95002522	534854.163594
MYO3	SH3_domain	1841	1914.13755675	1121.95002522	534854.163594
MYO5	head_domain	2219	1472.71012813	1286.13766016	464461.250646
MYO5	SH3_domain	2219	1962.6501584	1286.13766016	464461.250646
MYO5	acidic_domain	2219	150	1286.13766016	464461.250646
MYO5	PRD_1070to1084	2219	1559.19035412	1286.13766016	464461.250646
PAL1	speculated_interface_to_EDE1	1230	3007.04531711	3007.04531711	0
PAN1	coiled_coil_domain	3357	2282.16195187	2128.61365928	559110.657588
PAN1	acidic_domain	3357	998.995758491	2128.61365928	559110.657588
PAN1	phospho_site_LR2	3357	1431.41260095	2128.61365928	559110.657588
PAN1	long_repeat_2	3357	2478.29311949	2128.61365928	559110.657588
PAN1	EH_domain_2	3357	2198.60049775	2128.61365928	559110.657588
PAN1	PRD_1469to1480	3357	1975.94943295	2128.61365928	559110.657588
PAN1	N_terminal_LR1	3357	3534.88225346	2128.61365928	559110.657588
PFY1	interface_to_actin	29465	20148.6761755	20148.6761755	0
PRK1	PRD_748to761	177	5328.2765829	6773.4981266	1343810.72332
PRK1	kinase_domain	177	6825.87229678	6773.4981266	1343810.72332
PRK1	interface_to_arp2	177	8166.34550011	6773.4981266	1343810.72332
RVS161	dimerization_interface_	13654	12129.7740104	12129.7740104	0
RVS167	SH3_domain	6020	17096.3785286	13658.2900173	5934426.98133
RVS167	dimerization_interface_	6020	12129.7740104	13658.2900173	5934426.98133
RVS167	oligomerization_domain_	6020	11748.717513	13658.2900173	5934426.98133
SAC6	Four_CH_domains	30402	30402	30402	0
SCD5	phospho_site	46	100	100	-1.81898940355e-12
SCD5	residue302-500	46	100	100	-1.81898940355e-12
SCP1	PRD_156to169	2456	2999.74130121	2863.80597591	18478.412665
SCP1	actin_bundling_CalponinLR	2456	2727.8706506	2863.80597591	18478.412665
SLA1	SH3_domains1-2	2964	6922.45774176	4539.14672008	1817423.33089
SLA1	SH3_domain_3	2964	6922.45774176	4539.14672008	1817423.33089
SLA1	phospho_site	2964	3777.22476304	4539.14672008	1817423.33089
SLA1	Clathrin_Box	2964	4920.54416727	4539.14672008	1817423.33089
SLA1	SHD2_domain	2964	4395.95156371	4539.14672008	1817423.33089
SLA1	PRD_191to205	2964	2451.34755804	4539.14672008	1817423.33089
SLA1	C_terminal_repeat_toEND3	2964	4303.19540243	4539.14672008	1817423.33089
SLA1	SHD1_domain	2964	3817.45444564	4539.14672008	1817423.33089
SLA1	C_terminal_repeat_toPAN1	2964	3484.88225346	4539.14672008	1817423.33089
SLA1	Gap1_domain	2964	4395.95156371	4539.14672008	1817423.33089
SLA2	Talin_like_domain	3904	5111.06405726	5352.47686871	1295489.4216
SLA2	interface_to_CLC1	3904	7452.46058241	5352.47686871	1295489.4216
SLA2	coiled_coil_domain	3904	5111.06405726	5352.47686871	1295489.4216
SLA2	phospho_site	3904	3976.73158937	5352.47686871	1295489.4216
SLA2	homodimer_interface_CC	3904	5111.06405726	5352.47686871	1295489.4216
SYP1	PRD_519to533	2467	50	785.203034859	632192.082385
SYP1	interface_to_LAS17	2467	576.151612404	785.203034859	632192.082385
SYP1	PRD_413to427	2467	50	785.203034859	632192.082385
SYP1	C_terminal_muHD	2467	2184.36103284	785.203034859	632192.082385
SYP1	BAR_domain	2467	1065.50252905	785.203034859	632192.082385
TWF1	two_cofilin_domain	4975	4663.94250941	4560.25667921	183991.293392
TWF1	speculated_interface_to_CAP1	4975	5026.02740047	4560.25667921	183991.293392
TWF1	speculated_interface_to_CAP2	4975	3990.80012775	4560.25667921	183991.293392
VRP1	two_WH2_domain	473	249.832079376	205.198495251	12115.5834271
VRP1	PRD_3to18	473	321.898934366	205.198495251	12115.5834271
VRP1	PRD_398to407	473	100	205.198495251	12115.5834271
VRP1	PRD_513to527	473	50	205.198495251	12115.5834271
VRP1	C_terminal_region	473	304.261462513	205.198495251	12115.5834271
YAP1801	Five_NPF_motifs	357	922.219417784	896.401363982	465639.708422
YAP1801	phospho_site	357	50	896.401363982	465639.708422
YAP1801	speculated_to_GTS1	357	670.761219127	896.401363982	465639.708422
YAP1801	Clathrin_Box	357	1942.62481902	896.401363982	465639.708422
YAP1802	Clathrin_Box	264	1762.02479426	907.526025283	289652.410792
YAP1802	speculated_to_GTS1	264	702.13846102	907.526025283	289652.410792
YAP1802	Five_NPF_motifs	264	911.686959901	907.526025283	289652.410792
YAP1802	phospho_site	264	100	907.526025283	289652.410792
YAP1802	coiled_coil_domain	264	1061.77991123	907.526025283	289652.410792
YSC84	SH3_domain	1833	14261.6891827	10118.7927884	8581795.26663
YSC84	YAB_domain	1833	8047.34459133	10118.7927884	8581795.26663
YSC84	dimerization_interface	1833	8047.34459133	10118.7927884	8581795.26663
