Protein1	Interface1	Protein2	Interface2	Stoichiometry
	ACTG1	Subunit4_outsideFilament	EPS8	Helix_Bundle	1:01
	ACTG1	Subunit1_2_outsideFilament	HIP1	TALIN	1:01
	ACTG1	Subunit1_2_outsideFilament	HIP1R	TALIN	1:01
	ACTG1	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_1	1:01
	ACTG1	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_2	1:01
	ACTR2	interface_to_actr3	ACTR3	interface_to_actr2	1:01
	ACTR2	interface_to_arpc4	ARPC4	interface_to_actr2	1:01
	ACTR2	interface_to_arpc5l	ARPC5L	interface_to_actr2	1:01
	ACTR2	side_front_to_acidic_domain	CTTN	ACIDICMOT	1:01
	ACTR2	barbed_end_groove_to_Chelix	WAS	VCA_central	1:01
	ACTR2	side_front_to_acidic_domain	WAS	VCA_acidic	1:01
	ACTR2	barbed_end_groove_to_Chelix	WASL	VCA_central	1:01
	ACTR2	side_front_to_acidic_domain	WASL	VCA_acidic	1:01
	ACTR3	interface_to_arpc2	ARPC2	interface_to_actr3	1:01
	ACTR3	interface_to_arpc3	ARPC3	interface_to_actr3	1:01
	ACTR3	interface_to_arpc4	ARPC4	interface_to_actr3	1:01
	ACTR3	side_front_to_acidic_domain	CTTN	ACIDICMOT	1:01
	ACTR3	barbed_end_groove_to_Chelix	WAS	VCA_central	1:01
	ACTR3	side_front_to_acidic_domain	WAS	VCA_acidic	1:01
	ACTR3	barbed_end_groove_to_Chelix	WASL	VCA_central	1:01
	ACTR3	side_front_to_acidic_domain	WASL	VCA_acidic	1:01
	AGFG1	FXXFXXF	AP2A1	A2PLAT	1:01
	AGFG1	FXXFXXF	AP2A2	A2PLAT	1:01
	AGFG1	CLAT	CLTC	TD_CBOX	1:01
	AGFG1	NPF	EPS15	EH1	1:01
	AGFG1	NPF	EPS15	EH2	1:01
	AGFG1	NPF	EPS15	EH3	1:01
	AMPH	BAR_DIMER	AMPH	BAR_DIMER	1:01
	AMPH	BAR_top	AMPH	BAR_bottom	1:01
	AMPH	FxDxF	AP2A1	A2PLAT	1:01
	AMPH	FxDxF	AP2A2	A2PLAT	1:01
	AMPH	betaMotif	AP2B1	B2BS	1:01
	AMPH	BAR_DIMER	BIN1	BAR_DIMER	1:01
	AMPH	CLAT	CLTC	TD_CBOX	1:01
	AMPH	WBOX	CLTC	TD_WBOX	1:01
	AMPH	SH3	DNM1	PRD2	1:01
	AMPH	SH3	DNM2	PRD2	1:01
	AMPH	SH3	DNM3	PRD_fullregion	1:01
	AMPH	PHOSPHO_SITES_PRD	DYRK1A	Kinase_ST	1:01
	AMPH	FxDxF	NECAP1	PHear	1:01
	AMPH	FxDxF	NECAP2	PHear	1:01
	AMPH	SH3	SGIP1	PRD	1:01
	AMPH	PRD	SH3GL2	SH3	1:01
	AMPH	SH3	SYNJ1	PRD_1285to1290	1:01
	AMPH	SH3	SYNJ1	PRD_span	1:01
	AMPH	SH3	TNK2	PRD	1:01
	AP2A1	alpha_to_beta_interface	AP2B1	beta_to_alpha_interface	1:01
	AP2A1	alpha_to_mu_interface	AP2M1	mu_to_alpha_interface	1:01
	AP2A1	alpha_to_sigma_interface	AP2S1	sigma_to_alpha_interface	1:01
	AP2A1	A2PLAT	BIN1	FxDxF	1:01
	AP2A1	A2BS	CLTC	AD	1:01
	AP2A1	A2PLAT	DAB2	DPF	1:01
	AP2A1	A2PLAT	DAB2	FxDxF	1:01
	AP2A1	A2PLAT	DNAJC6	DxF	1:01
	AP2A1	A2PLAT	EPN1	DPW	2:01
	AP2A1	A2PLAT	EPN2	DxW	2:01
	AP2A1	A2PLAT	EPS15L1	DPF	1:01
	AP2A1	A2PLAT	EPS15	DPF_7-15	1:01
	AP2A1	core_to_linker	FCHO1	LINKER	1:01
	AP2A1	core_to_linker	FCHO2	LINKER	1:01
	AP2A1	A2BS	HIP1	FXDIF	1:01
	AP2A1	A2BS	ITSN2	WVxF	1:01
	AP2A1	A2PLAT	MYO6	DT	1:01
	AP2A1	A2PLAT	GAK	DxF	1:01
	AP2A1	A2BS	NECAP2	WVxF	1:01
	AP2A1	A2BS	NECAP1	WXXF_2	1:01
	AP2A1	A2PLAT	NUMB	DPF	1:01
	AP2A1	A2PLAT	OCRL	FxDxF	1:01
	AP2A1	A2PLAT	PICALM	FESVF	1:01
	AP2A1	core_to_linker	SGIP1	LINKER	1:01
	AP2A1	A2PLAT	SNAP91	FxDxF	1:01
	AP2A1	A2PLAT	SNX9	LC	1:01
	AP2A1	A2BS	STON2	WVxF	1:01
	AP2A1	A2BS	SYNJ1	WVxF	1:01
	AP2A2	alpha_to_beta_interface	AP2B1	beta_to_alpha_interface	1:01
	AP2A2	alpha_to_mu_interface	AP2M1	mu_to_alpha_interface	1:01
	AP2A2	alpha_to_sigma_interface	AP2S1	sigma_to_alpha_interface	1:01
	AP2A2	A2PLAT	BIN1	FxDxF	1:01
	AP2A2	A2BS	CLTC	AD	1:01
	AP2A2	A2PLAT	DAB2	DPF	1:01
	AP2A2	A2PLAT	DNAJC6	DxF	1:01
	AP2A2	A2PLAT	EPN1	DPW	2:01
	AP2A2	A2PLAT	EPN2	DxW	2:01
	AP2A2	A2PLAT	EPS15L1	DPF	1:01
	AP2A2	A2PLAT	EPS15	DPF_7-15	1:01
	AP2A2	core_to_linker	FCHO1	LINKER	1:01
	AP2A2	core_to_linker	FCHO2	LINKER	1:01
	AP2A2	A2BS	HIP1	FXDIF	1:01
	AP2A2	A2BS	ITSN2	WVxF	1:01
	AP2A2	A2PLAT	MYO6	DT	1:01
	AP2A2	A2PLAT	GAK	DxF	1:01
	AP2A2	A2BS	NECAP2	WVxF	1:01
	AP2A2	A2BS	NECAP1	WXXF_2	1:01
	AP2A2	A2PLAT	NUMB	DPF	1:01
	AP2A2	A2PLAT	OCRL	FxDxF	1:01
	AP2A2	A2PLAT	PICALM	FESVF	1:01
	AP2A2	core_to_linker	SGIP1	LINKER	1:01
	AP2A2	A2PLAT	SNAP91	FxDxF	1:01
	AP2A2	A2PLAT	SNX9	LC	1:01
	AP2A2	A2BS	STON2	WVxF	1:01
	AP2A2	A2BS	SYNJ1	FxDxF	1:01
	AP2A2	A2BS	SYNJ1	WVxF	1:01
	AP2B1	beta_to_mu_interface	AP2M1	mu_to_beta_interface	1:01
	AP2B1	beta_to_sigma_interface	AP2S1	sigma_to_beta_interface	1:01
	AP2B1	B2PLAT	ARRB1	CTD	1:01
	AP2B1	B2PLAT	ARRB2	CTD	1:01
	AP2B1	CLAT_linker	CLTC	TD_CBOX	1:01
	AP2B1	B2PLAT	DAB2	FxxFxxRQ	1:01
	AP2B1	B2PLAT	EPN1	FxxFxxxR	1:01
	AP2B1	B2BS	EPS15	FxDF	1:01
	AP2B1	B2BS	ITSN1	LINK_SH3AB	1:01
	AP2B1	B2PLAT	LDLRAP1	betaMotifPlatform	1:01
	AP2B1	CLAT_linker	NECAP1	PHear	1:01
	AP2B1	B2BS	PICALM	betaMotif	1:01
	AP2B1	B2BS	PIP5K1C	CTD	1:01
	AP2B1	B2BS	SNAP91	betaMotif	1:01
	AP2B1	B2PLAT	SNX9	LC	1:01
	AP2M1	mu_to_sigma_interface	AP2S1	sigma_to_mu_interface	1:01
	AP2M1	M2MUH	CORO7	Tyr_motif	1:01
	AP2M1	M2MUH	NECAP1	PHear	1:01
	AP2M1	M2MUH	STON2	WVxF	1:01
	ARPC1A	interface_to_arpc4	ARPC4	interface_to_arpc1a	1:01
	ARPC1A	interface_to_arpc5l	ARPC5L	interface_to_arpc1a	1:01
	ARPC1A	interface_to_actin_filament_acidic	CTTN	ACIDICMOT	1:01
	ARPC1A	interface_to_actin_filament_acidic	WAS	VCA_acidic	1:01
	ARPC1A	interface_to_actin_filament_acidic	WASL	VCA_acidic	1:01
	ARPC2	interface_to_arpc4	ARPC4	interface_to_arpc2	1:01
	ARPC4	interface_to_arpc5l	ARPC5L	interface_to_arpc4	1:01
	ARRB1	CLAT	CLTC	TD_CBOX	1:01
	ARRB2	CLAT	CLTC	TD_CBOX	1:01
	BIN1	BAR_DIMER	BIN1	BAR_DIMER	1:01
	BIN1	BAR_TOP	BIN1	BAR_BOTTOM	1:01
	BIN1	SH3	DNM1	PRD2	1:01
	BIN1	SH3	DNM1	PRD3	1:01
	BIN1	SH3	DNM2	PRD2	1:01
	BIN1	SH3	DNM2	PRD3	1:01
	BIN1	FxDxF	NECAP1	PHear	1:01
	BIN1	FxDxF	NECAP2	PHear	1:01
	BIN1	SH3	SYNJ1	PRD_1285to1290	1:01
	BIN1	SH3	SYNJ1	PRD_span	1:01
	BIN1	SH3	TNK2	PRD	1:01
	BIN1	SH3	WASL	PRD_span	1:01
	BMP2K	PKD	NUMB	PhosphoSites	1:01
	CAPZA2	interface_to_capzb	CAPZB	interface_to_capza2	1:01
	CAPZB	interface_to_hspa8	HSPA8	SBD	1:01
	CFL1	ADFH	CTTN	SRC_BIND	1:01
	CLTA	BIND	CLTC	PROX	1:01
	CLTA	BIND	CLTCL1	PROX	1:01
	CLTA	interface_hspa8	HSPA8	HSPATP	1:01
	CLTB	BIND	CLTC	PROX	1:01
	CLTB	BIND	CLTCL1	PROX	1:01
	CLTB	interface_hip1_hip1r	HIP1	CC	1:01
	CLTB	interface_hip1_hip1r	HIP1R	CC	1:01
	CLTB	interface_hspa8	HSPA8	HSPATP	1:01
	CLTC	TRIMER	CLTC	TRIMER	1:01
	CLTC	TRIMER	CLTCL1	TRIMER	1:01
	CLTC	TD_CBOX	DAB2	CLAT	1:01
	CLTC	TD_CBOX	DNAJC6	CLAT	1:01
	CLTC	TD_CBOX	EPN1	CLAT	1:01
	CLTC	TD_CBOX	EPN2	CLAT	1:01
	CLTC	TD_CBOX	GAK	CLAT	1:01
	CLTC	TD_CBOX	HIP1	CLAT	1:01
	CLTC	TD_CBOX	HIP1R	CLAT	1:01
	CLTC	TD_CBOX	LDLRAP1	CLAT	1:01
	CLTC	TD_CBOX	OCRL	CLAT	1:01
	CLTC	TD_CBOX	OCRL	CLAT_NS	1:01
	CLTC	TD_CBOX	PICALM	CLAT	1:01
	CLTC	TD_CBOX	SNAP91	CLAT	1:01
	CLTC	TD_CBOX	SNAP91	CLAT_NS	1:01
	CLTC	TD_WBOX	SNX9	LC	1:01
	CLTC	TD_CBOX	TNK2	CLAT	1:01
	CLTCL1	TRIMER	CLTCL1	TRIMER	1:01
	CLTCL1	TD_CBOX	HIP1	CLAT	1:01
	CLTCL1	TD_CBOX	OCRL	CLAT	1:01
	CLTCL1	TD_CBOX	PICALM	CLAT	1:01
	CORO1A	CC_dimer	CORO1A	CC_dimer	1:01
	CORO1A	CC_dimer	CORO6	CC_dimer	1:01
	CORO7	interface_to_eps15	EPS15	UIM2	1:01
	CTTN	SH3	DNM2	PRD_1_4-8_10-15	1:01
	CTTN	SH3	DNM2	PRD2	1:01
	CTTN	SH3	DNM2	PRD3	1:01
	CTTN	SH3	DNM2	PRD9	1:01
	CTTN	SH3	HIP1R	PRD_span	1:01
	CTTN	PhosphoSites	TNK2	PKD	1:01
	CTTN	SH3	TNK2	PRD	1:01
	CTTN	SH3	WAS	PRD	1:01
	CTTN	SH3	WASL	PRD_span	1:01
	DAB2	NPF3_4_5	EPS15	EH3	1:01
	DAB2	NPF3_4_5	EPS15	EH1	1:01
	DAB2	NPF3_4_5	EPS15	EH2	1:01
	DAB2	DPF	FCHO2	MUH	1:01
	DAB2	NPF3_4_5	ITSN1	EH1	1:01
	DAB2	CTD	MYO6	WWY	1:01
	DAB2	FxDxF	NECAP1	PHear	1:01
	DAB2	PRD_709to725	SH3KBP1	SH3C	1:01
	DBNL	SH3	DNM1	PRD_1_4-8_10-15	1:01
	DBNL	SH3	DNM1	PRD2	1:01
	DBNL	SH3	DNM1	PRD3	1:01
	DBNL	SH3	DNM1	PRD9	1:01
	DNAJC6	Jdomain	HSPA8	COFACTOR	1:01
	DNM1	GED	DNM1	MD	1:01
	DNM1	STALK_DIMER	DNM1	STALK_DIMER	1:01
	DNM1	MD	DNM2	GED	1:01
	DNM1	STALK_DIMER	DNM2	STALK_DIMER	1:01
	DNM1	GED	DNM3	MD	1:01
	DNM1	MD	DNM3	GED	1:01
	DNM1	STALK_DIMER	DNM3	STALK_DIMER	1:01
	DNM1	PHOSPHO_SITES_PRD	DYRK1A	Kinase_ST	1:01
	DNM1	PRD_1_4-8_10-15	FNBP1	SH3	1:01
	DNM1	PRD2	FNBP1	SH3	1:01
	DNM1	PRD3	FNBP1	SH3	1:01
	DNM1	PRD9	FNBP1	SH3	1:01
	DNM1	PRD_1_4-8_10-15	ITSN1	SH3A	1:01
	DNM1	PRD2	ITSN1	SH3A	1:01
	DNM1	PRD3	ITSN1	SH3A	1:01
	DNM1	PRD9	ITSN1	SH3A	1:01
	DNM1	PRD_1_4-8_10-15	ITSN2	SH3A	1:01
	DNM1	PRD2	ITSN2	SH3A	1:01
	DNM1	PRD3	ITSN2	SH3A	1:01
	DNM1	PRD9	ITSN2	SH3A	1:01
	DNM1	PRD_1_4-8_10-15	MYO1E	SH3	1:01
	DNM1	PRD2	MYO1E	SH3	1:01
	DNM1	PRD3	MYO1E	SH3	1:01
	DNM1	PRD9	MYO1E	SH3	1:01
	DNM1	PRD2	PACSIN2	SH3	1:01
	DNM1	PRD_1_4-8_10-15	SH3BP4	SH3	1:01
	DNM1	PRD2	SH3BP4	SH3	1:01
	DNM1	PRD3	SH3BP4	SH3	1:01
	DNM1	PRD9	SH3BP4	SH3	1:01
	DNM1	PRD2	SH3GL1	SH3	1:01
	DNM1	PRD3	SH3GL1	SH3	1:01
	DNM1	PRD9	SH3GL2	SH3	1:01
	DNM1	PRD_1_4-8_10-15	SH3KBP1	SH3A	1:01
	DNM1	PRD_1_4-8_10-15	SH3KBP1	SH3C	1:01
	DNM1	PRD2	SH3KBP1	SH3A	1:01
	DNM1	PRD2	SH3KBP1	SH3C	1:01
	DNM1	PRD3	SH3KBP1	SH3A	1:01
	DNM1	PRD3	SH3KBP1	SH3C	1:01
	DNM1	PRD9	SH3KBP1	SH3A	1:01
	DNM1	PRD9	SH3KBP1	SH3C	1:01
	DNM1	PRD_1_4-8_10-15	SNX9	SH3	1:01
	DNM1	PRD2	SNX9	SH3	1:01
	DNM1	PRD3	SNX9	SH3	1:01
	DNM1	PRD9	SNX9	SH3	1:01
	DNM2	GED	DNM2	MD	1:01
	DNM2	STALK_DIMER	DNM2	STALK_DIMER	1:01
	DNM2	GED	DNM3	MD	1:01
	DNM2	MD	DNM3	GED	1:01
	DNM2	STALK_DIMER	DNM3	STALK_DIMER	1:01
	DNM2	PRD_1_4-8_10-15	FNBP1	SH3	1:01
	DNM2	PRD2	FNBP1	SH3	1:01
	DNM2	PRD3	FNBP1	SH3	1:01
	DNM2	PRD9	FNBP1	SH3	1:01
	DNM2	PRD_1_4-8_10-15	FNBP1L	SH3	1:01
	DNM2	PRD2	FNBP1L	SH3	1:01
	DNM2	PRD3	FNBP1L	SH3	1:01
	DNM2	PRD9	FNBP1L	SH3	1:01
	DNM2	PRD_1_4-8_10-15	ITSN1	SH3A	1:01
	DNM2	PRD_1_4-8_10-15	ITSN1	SH3C	1:01
	DNM2	PRD_1_4-8_10-15	ITSN1	SH3E	1:01
	DNM2	PRD2	ITSN1	SH3A	1:01
	DNM2	PRD2	ITSN1	SH3C	1:01
	DNM2	PRD2	ITSN1	SH3E	1:01
	DNM2	PRD3	ITSN1	SH3A	1:01
	DNM2	PRD3	ITSN1	SH3C	1:01
	DNM2	PRD3	ITSN1	SH3E	1:01
	DNM2	PRD9	ITSN1	SH3A	1:01
	DNM2	PRD9	ITSN1	SH3C	1:01
	DNM2	PRD9	ITSN1	SH3E	1:01
	DNM2	PRD_1_4-8_10-15	ITSN2	SH3A	1:01
	DNM2	PRD_1_4-8_10-15	ITSN2	SH3C	1:01
	DNM2	PRD_1_4-8_10-15	ITSN2	SH3E	1:01
	DNM2	PRD2	ITSN2	SH3A	1:01
	DNM2	PRD2	ITSN2	SH3C	1:01
	DNM2	PRD2	ITSN2	SH3E	1:01
	DNM2	PRD3	ITSN2	SH3A	1:01
	DNM2	PRD3	ITSN2	SH3C	1:01
	DNM2	PRD3	ITSN2	SH3E	1:01
	DNM2	PRD9	ITSN2	SH3A	1:01
	DNM2	PRD9	ITSN2	SH3C	1:01
	DNM2	PRD9	ITSN2	SH3E	1:01
	DNM2	PRD_1_4-8_10-15	MYO1E	SH3	1:01
	DNM2	PRD2	MYO1E	SH3	1:01
	DNM2	PRD3	MYO1E	SH3	1:01
	DNM2	PRD9	MYO1E	SH3	1:01
	DNM2	PRD2	PACSIN2	SH3	1:01
	DNM2	PRD_1_4-8_10-15	SH3BP4	SH3	1:01
	DNM2	PRD2	SH3BP4	SH3	1:01
	DNM2	PRD3	SH3BP4	SH3	1:01
	DNM2	PRD9	SH3BP4	SH3	1:01
	DNM2	PRD2	SH3GL1	SH3	1:01
	DNM2	PRD3	SH3GL1	SH3	1:01
	DNM2	PRD9	SH3GL2	SH3	1:01
	DNM2	PRD_1_4-8_10-15	SH3GL3	SH3	1:01
	DNM2	PRD2	SH3GL3	SH3	1:01
	DNM2	PRD3	SH3GL3	SH3	1:01
	DNM2	PRD9	SH3GL3	SH3	1:01
	DNM2	PRD2	SH3KBP1	SH3A	1:01
	DNM2	PRD2	SH3KBP1	SH3C	1:01
	DNM2	PRD_1_4-8_10-15	SNX9	SH3	1:01
	DNM2	PRD2	SNX9	SH3	1:01
	DNM2	PRD3	SNX9	SH3	1:01
	DNM2	PRD9	SNX9	SH3	1:01
	DNM2	PRD_1_4-8_10-15	TRIP10	SH3_1	1:01
	DNM2	PRD2	TRIP10	SH3_1	1:01
	DNM2	PRD3	TRIP10	SH3_1	1:01
	DNM2	PRD9	TRIP10	SH3_1	1:01
	DNM3	STALK_DIMER	DNM3	STALK_DIMER	1:01
	DNM3	PRD_fullregion	FNBP1	SH3	1:01
	DNM3	PRD_fullregion	SH3GL1	SH3	1:01
	DNM3	PRD_fullregion	SH3GL2	SH3	1:01
	DNM3	PRD_fullregion	SH3GL3	SH3	1:01
	DNM3	PRD_fullregion	SNX9	SH3	1:01
	DYRK1A	Kinase_ST	DYRK1A	Phospho_Site	1:01
	EPN1	ENTH_H0	EPN3	ENTH_H0	1:01
	EPN1	NPF	EPS15	EH1	1:01
	EPN1	NPF	EPS15	EH2	1:01
	EPN1	NPF	EPS15	EH3	1:01
	EPN1	NPF	EPS15L1	EH1	1:01
	EPN1	NPF	ITSN1	EH1	1:01
	EPN1	NPF	ITSN1	EH2	1:01
	EPN2	ENTH_H0	EPN3	ENTH_H0	1:01
	EPN2	NPF	EPS15	EH1	1:01
	EPN2	NPF	EPS15	EH2	1:01
	EPN2	NPF	EPS15L1	EH1	1:01
	EPN2	NPF	EPS15L1	EH2	1:01
	EPN2	NPF	EPS15L1	EH3	1:01
	EPN3	NPF	EPS15	EH1	1:01
	EPN3	NPF	EPS15	EH2	1:01
	EPN3	NPF	EPS15	EH3	1:01
	EPS15	CC	EPS15	CC	1:01
	EPS15	DPF_1-6	FCHO1	MUH	1:01
	EPS15	DPF_1-6	FCHO2	MUH	1:01
	EPS15	DPF_7-15	FCHO2	MUH	1:01
	EPS15	CC	ITSN1	CC1	1:01
	EPS15	CC	ITSN2	CC1	1:01
	EPS15	EH1	NUMB	NPF	1:01
	EPS15	EH2	NUMB	NPF	1:01
	EPS15	EH3	NUMB	NPF	1:01
	EPS15	EH1	PICALM	NPF1_2	1:01
	EPS15	DPF_1-6	SGIP1	M2MUH	1:01
	EPS15	EH1	SH3BP4	NPF	1:01
	EPS15	EH2	SH3BP4	NPF	1:01
	EPS15	EH3	SH3BP4	NPF	1:01
	EPS15	EH2	SNAP91	NPF1_2	1:01
	EPS15	EH1	STON2	NPF1	1:01
	EPS15	EH1	STON2	NPF2	1:01
	EPS15	EH2	STON2	NPF1	1:01
	EPS15	EH2	STON2	NPF2	1:01
	EPS15	CC	EPS15L1	CC	1:01
	EPS15L1	CC	EPS15L1	CC	1:01
	EPS15L1	DPF_triad	FCHO1	MUH	1:01
	EPS15L1	DPF_triad	FCHO2	MUH	1:01
	EPS15L1	CC	ITSN1	CC1	1:01
	EPS15L1	CC	ITSN2	CC1	1:01
	EPS15L1	EH1	NUMB	NPF	1:01
	EPS15L1	EH2	STON2	NPF1	1:01
	EPS15L1	EH2	STON2	NPF2	1:01
	FCHO1	FBAR_DIMER	FCHO1	FBAR_DIMER	1:01
	FCHO1	FBAR_top	FCHO1	FBAR_bottom	1:01
	FCHO1	FBAR_DIMER	FCHO2	FBAR_DIMER	1:01
	FCHO1	FBAR_top	FCHO2	FBAR_bottom	1:01
	FCHO1	MUH	ITSN1	LINK_SH3AB	1:01
	FCHO1	MUH	PICALM	DPF	1:01
	FCHO1	LINKER	NECAP1	PHear	1:01
	FCHO2	LINKER	NECAP1	PHear	1:01
	FCHO2	MUH	ITSN1	LINK_SH3AB	1:01
	FCHO2	MUH	PICALM	DPF	1:01
	FCHO2	FBAR_DIMER	FCHO2	FBAR_DIMER	1:01
	FCHO2	FBAR_top	FCHO2	FBAR_bottom	1:01
	FNBP1	FBAR_DIMER	FNBP1	FBAR_DIMER	1:01
	FNBP1	FBAR_top	FNBP1	FBAR_bottom	1:01
	FNBP1	FBAR_DIMER	TRIP10	FBAR_DIMER	1:01
	FNBP1	SH3	WAS	PRD	1:01
	FNBP1	SH3	WASL	PRD_span	1:01
	FNBP1L	FBAR_DIMER	FNBP1L	FBAR_DIMER	1:01
	FNBP1L	FBAR_TOP	FNBP1L	FBAR_BOTTOM	1:01
	FNBP1L	SH3	WASL	PRD_span	1:01
	GAK	Jdomain	HSPA8	COFACTOR	1:01
	HIP1	CC	HIP1	CC	1:01
	HIP1R	CC	HIP1R	CC	1:01
	HIP1R	PRD_1025to1030	SH3KBP1	SH3A	1:01
	HIP1R	PRD_1025to1030	SH3KBP1	SH3B	1:01
	HIP1R	PRD_1025to1030	SH3KBP1	SH3C	1:01
	INPPL1	PRD_944to949	ITSN1	SH3A	1:01
	INPPL1	PRD_944to949	ITSN1	SH3C	1:01
	INPPL1	PRD_944to949	ITSN1	SH3D	1:01
	INPPL1	PRD_944to949	ITSN1	SH3E	1:01
	INPPL1	PRD_span	ITSN1	SH3A	1:01
	INPPL1	PRD_span	ITSN1	SH3B	1:01
	INPPL1	PRD_span	ITSN1	SH3C	1:01
	INPPL1	PRD_span	ITSN1	SH3D	1:01
	INPPL1	PRD_span	ITSN1	SH3E	1:01
	INPPL1	PRD_944to949	SH3KBP1	SH3A	1:01
	INPPL1	PRD_944to949	SH3KBP1	SH3B	1:01
	INPPL1	PRD_944to949	SH3KBP1	SH3C	1:01
	ITSN1	CC1	ITSN1	CC1	1:01
	ITSN1	RhoGEF_autoinhibit	ITSN1	SH3E_LINK_toDH	1:01
	ITSN1	CC1	ITSN2	CC1	1:01
	ITSN1	SH3D	NUMB	PRD	1:01
	ITSN1	EH1	PICALM	NPF1_2 	1:01
	ITSN1	SH3A	SGIP1	PRD	1:01
	ITSN1	SH3E	SGIP1	PRD	1:01
	ITSN1	SH3B	SH3GL1	SH3	1:01
	ITSN1	SH3B	SH3GL2	SH3	1:01
	ITSN1	SH3A	SH3KBP1	PRD	1:01
	ITSN1	EH1	STON2	NPF2	1:01
	ITSN1	EH2	STON2	NPF1	1:01
	ITSN1	SH3A	SYNJ1	PRD_1285to1290	1:01
	ITSN1	SH3A	SYNJ1	PRD_span	1:01
	ITSN1	SH3A	SYNJ2	PRD_1285to1290	1:01
	ITSN1	SH3A	SYNJ2	PRD_span	1:01
	ITSN1	SH3A	WAS	PRD	1:01
	ITSN1	SH3B	WAS	PRD	1:01
	ITSN1	SH3C	WAS	PRD	1:01
	ITSN1	SH3D	WAS	PRD	1:01
	ITSN1	SH3E	WAS	PRD	1:01
	ITSN1	SH3A	WASL	PRD_span	1:01
	ITSN1	SH3B	WASL	PRD_span	1:01
	ITSN1	SH3C	WASL	PRD_span	1:01
	ITSN1	SH3D	WASL	PRD_span	1:01
	ITSN1	SH3E	WASL	PRD_span	1:01
	ITSN2	CC1	ITSN2	CC1	1:01
	ITSN2	SH3D	NUMB	PRD	1:01
	ITSN2	SH3C	SH3KBP1	PRD	1:01
	ITSN2	SH3D	SH3KBP1	PRD	1:01
	ITSN2	SH3E	SH3KBP1	PRD	1:01
	ITSN2	SH3A	SYNJ2	PRD_span	1:01
	ITSN2	SH3A	WAS	PRD	1:01
	ITSN2	SH3B	WAS	PRD	1:01
	ITSN2	SH3C	WAS	PRD	1:01
	ITSN2	SH3D	WAS	PRD	1:01
	ITSN2	SH3E	WAS	PRD	1:01
	ITSN2	SH3A	WASL	PRD_span	1:01
	ITSN2	SH3B	WASL	PRD_span	1:01
	ITSN2	SH3C	WASL	PRD_span	1:01
